Sum,YearEnd,Hour,WeekDay,HaveDeviceId,EuropeAsiaCountryIp,Refund
46.53,2020,15.55,2,0,1,1
40.46,2019,15.55,2,1,1,0
1.0,2019,15.55,2,1,0,0
84.38,2019,15.55,2,1,1,0
16.18,2017,15.55,2,1,1,0
19.99,2019,15.55,2,1,1,0
7.48,2018,15.55,2,0,1,0
2.53,2020,15.55,2,0,1,0
1.05,2020,15.55,2,0,1,0
8.09,2019,15.55,2,0,1,0
10.5,2021,15.55,2,1,1,0
81.0,2018,15.566666666666666,2,0,1,0
26.83,2020,15.566666666666666,2,0,1,0
19.99,2017,15.566666666666666,2,1,0,0
107.32,2017,15.566666666666666,2,1,1,0
0.88,2019,15.566666666666666,2,1,1,0
0.84,2019,15.566666666666666,2,1,1,0
20.25,2017,15.566666666666666,2,0,1,0
5.99,2018,15.566666666666666,2,1,1,0
